Z/Zo & log(n_Hcm-3) & log(U) & SIII19_SIII33 & OIII52_OIII88 & NII122_NII205 & SIV11_NeII16 & NeII13_NeIII16 & OIII52_NIII57 & OIII88_NIII57 & OIII52_NII122 & OIII52_NII205 & OIII88_NII122 & OIII88_NII205 
0.05 & 1 & --4.0 & --0.36 & --0.23 & --0.04 & --2.49 & 0.30 & 0.97 & 1.20 & 0.10 & 0.06 & 0.33 & 0.29 \\
0.05 & 1 & --3.5 & --0.35 & --0.23 & --0.04 & --1.66 & --0.19 & 1.00 & 1.23 & 1.05 & 1.01 & 1.28 & 1.24 \\
0.05 & 1 & --3.0 & --0.34 & --0.23 & --0.03 & --0.95 & --0.69 & 1.07 & 1.30 & 1.88 & 1.84 & 2.11 & 2.07 \\
0.05 & 1 & --2.5 & --0.33 & --0.23 & --0.02 & --0.36 & --1.19 & 1.12 & 1.35 & 2.50 & 2.48 & 2.73 & 2.70 \\
0.05 & 1 & --2.0 & --0.32 & --0.23 & --0.01 & 0.09 & --1.69 & 1.17 & 1.40 & 3.01 & 3.00 & 3.24 & 3.22 \\
0.05 & 2 & --4.0 & --0.29 & --0.10 & 0.43 & --2.48 & 0.31 & 1.06 & 1.16 & 0.25 & 0.68 & 0.35 & 0.78 \\
0.05 & 2 & --3.5 & --0.28 & --0.10 & 0.44 & --1.66 & --0.18 & 1.09 & 1.19 & 1.21 & 1.65 & 1.30 & 1.75 \\
0.05 & 2 & --3.0 & --0.27 & --0.10 & 0.45 & --0.95 & --0.68 & 1.16 & 1.26 & 2.04 & 2.49 & 2.14 & 2.59 \\
0.05 & 2 & --2.5 & --0.27 & --0.10 & 0.46 & --0.36 & --1.19 & 1.21 & 1.31 & 2.67 & 3.12 & 2.76 & 3.22 \\
0.05 & 2 & --2.0 & --0.26 & --0.09 & 0.47 & 0.09 & --1.69 & 1.26 & 1.35 & 3.18 & 3.65 & 3.27 & 3.74 \\
0.05 & 3 & --4.0 & 0.07 & 0.40 & 0.86 & --2.49 & 0.31 & 1.36 & 0.97 & 0.80 & 1.66 & 0.41 & 1.26 \\
0.05 & 3 & --3.5 & 0.08 & 0.40 & 0.87 & --1.67 & --0.18 & 1.40 & 1.00 & 1.77 & 2.63 & 1.37 & 2.24 \\
0.05 & 3 & --3.0 & 0.08 & 0.39 & 0.87 & --0.95 & --0.68 & 1.47 & 1.08 & 2.60 & 3.47 & 2.21 & 3.08 \\
0.05 & 3 & --2.5 & 0.07 & 0.39 & 0.86 & --0.36 & --1.18 & 1.52 & 1.13 & 3.23 & 4.09 & 2.84 & 3.71 \\
0.05 & 3 & --2.0 & 0.06 & 0.38 & 0.86 & 0.09 & --1.69 & 1.57 & 1.19 & 3.76 & 4.61 & 3.38 & 4.23 \\
0.05 & 4 & --4.0 & 0.71 & 0.87 & 0.97 & --2.61 & 0.35 & 1.59 & 0.72 & 1.09 & 2.06 & 0.21 & 1.18 \\
0.05 & 4 & --3.5 & 0.72 & 0.88 & 0.97 & --1.79 & --0.14 & 1.63 & 0.75 & 2.05 & 3.03 & 1.18 & 2.15 \\
0.05 & 4 & --3.0 & 0.71 & 0.87 & 0.97 & --1.06 & --0.65 & 1.70 & 0.83 & 2.90 & 3.87 & 2.02 & 3.00 \\
0.05 & 4 & --2.5 & 0.70 & 0.87 & 0.97 & --0.46 & --1.15 & 1.76 & 0.89 & 3.53 & 4.50 & 2.66 & 3.63 \\
0.05 & 4 & --2.0 & 0.68 & 0.86 & 0.97 & 0.00 & --1.66 & 1.82 & 0.96 & 4.09 & 5.05 & 3.23 & 4.19 \\
0.05 & 5 & --4.0 & 1.02 & 1.00 & 0.99 & --3.02 & 0.50 & 1.63 & 0.64 & 1.08 & 2.07 & 0.09 & 1.08 \\
0.05 & 5 & --3.5 & 1.03 & 1.00 & 0.99 & --2.18 & 0.01 & 1.67 & 0.67 & 2.06 & 3.05 & 1.07 & 2.06 \\
0.05 & 5 & --3.0 & 1.03 & 1.00 & 0.99 & --1.44 & --0.49 & 1.74 & 0.75 & 2.92 & 3.91 & 1.92 & 2.91 \\
0.05 & 5 & --2.5 & 1.03 & 1.00 & 0.99 & --0.83 & --1.00 & 1.80 & 0.81 & 3.56 & 4.55 & 2.56 & 3.55 \\
0.05 & 5 & --2.0 & 1.02 & 1.00 & 0.99 & --0.36 & --1.52 & 1.87 & 0.87 & 4.12 & 5.11 & 3.13 & 4.12 \\
0.05 & 6 & --4.0 & 1.07 & 1.01 & 0.99 & --3.29 & 0.77 & 1.64 & 0.63 & 1.06 & 2.05 & 0.05 & 1.04 \\
0.05 & 6 & --3.5 & 1.08 & 1.01 & 0.99 & --2.42 & 0.28 & 1.67 & 0.66 & 2.05 & 3.04 & 1.03 & 2.03 \\
0.05 & 6 & --3.0 & 1.08 & 1.01 & 0.99 & --1.67 & --0.23 & 1.75 & 0.74 & 2.90 & 3.90 & 1.89 & 2.88 \\
0.05 & 6 & --2.5 & 1.08 & 1.01 & 0.99 & --1.05 & --0.74 & 1.81 & 0.80 & 3.32 & 4.31 & 2.31 & 3.30 \\
0.05 & 6 & --2.0 & 1.08 & 1.01 & 0.98 & --0.60 & --1.28 & 1.88 & 0.86 & 2.45 & 3.43 & 1.43 & 2.42 \\
0.20 & 1 & --4.0 & --0.36 & --0.23 & --0.04 & --2.48 & 0.48 & 0.95 & 1.19 & --0.01 & --0.05 & 0.22 & 0.18 \\
0.20 & 1 & --3.5 & --0.35 & --0.23 & --0.03 & --1.70 & --0.00 & 0.99 & 1.22 & 0.93 & 0.89 & 1.16 & 1.13 \\
0.20 & 1 & --3.0 & --0.35 & --0.23 & --0.03 & --1.03 & --0.50 & 1.06 & 1.29 & 1.78 & 1.74 & 2.01 & 1.97 \\
0.20 & 1 & --2.5 & --0.35 & --0.23 & --0.04 & --0.46 & --0.99 & 1.12 & 1.35 & 2.44 & 2.40 & 2.67 & 2.63 \\
0.20 & 1 & --2.0 & --0.34 & --0.22 & --0.03 & --0.00 & --1.47 & 1.16 & 1.38 & 2.97 & 2.94 & 3.19 & 3.16 \\
0.20 & 2 & --4.0 & --0.29 & --0.10 & 0.43 & --2.47 & 0.48 & 1.05 & 1.14 & 0.15 & 0.58 & 0.25 & 0.68 \\
0.20 & 2 & --3.5 & --0.29 & --0.09 & 0.45 & --1.70 & --0.00 & 1.08 & 1.17 & 1.09 & 1.54 & 1.19 & 1.63 \\
0.20 & 2 & --3.0 & --0.28 & --0.09 & 0.44 & --1.03 & --0.50 & 1.15 & 1.24 & 1.94 & 2.38 & 2.03 & 2.47 \\
0.20 & 2 & --2.5 & --0.28 & --0.08 & 0.44 & --0.46 & --0.99 & 1.21 & 1.30 & 2.59 & 3.03 & 2.68 & 3.11 \\
0.20 & 2 & --2.0 & --0.28 & --0.06 & 0.44 & --0.00 & --1.47 & 1.26 & 1.32 & 3.12 & 3.56 & 3.18 & 3.62 \\
0.20 & 3 & --4.0 & 0.08 & 0.40 & 0.86 & --2.48 & 0.49 & 1.35 & 0.95 & 0.70 & 1.57 & 0.30 & 1.16 \\
0.20 & 3 & --3.5 & 0.09 & 0.41 & 0.87 & --1.70 & 0.00 & 1.38 & 0.98 & 1.66 & 2.53 & 1.25 & 2.12 \\
0.20 & 3 & --3.0 & 0.08 & 0.41 & 0.87 & --1.04 & --0.49 & 1.46 & 1.05 & 2.49 & 3.36 & 2.09 & 2.96 \\
0.20 & 3 & --2.5 & 0.08 & 0.41 & 0.86 & --0.46 & --0.99 & 1.51 & 1.11 & 3.14 & 4.00 & 2.73 & 3.59 \\
0.20 & 3 & --2.0 & 0.08 & 0.42 & 0.85 & --0.00 & --1.47 & 1.55 & 1.13 & 3.65 & 4.51 & 3.23 & 4.09 \\
0.20 & 4 & --4.0 & 0.71 & 0.88 & 0.97 & --2.60 & 0.53 & 1.57 & 0.69 & 0.99 & 1.96 & 0.11 & 1.09 \\
0.20 & 4 & --3.5 & 0.72 & 0.88 & 0.98 & --1.83 & 0.04 & 1.60 & 0.72 & 1.95 & 2.92 & 1.07 & 2.05 \\
0.20 & 4 & --3.0 & 0.72 & 0.88 & 0.98 & --1.16 & --0.46 & 1.68 & 0.81 & 2.79 & 3.77 & 1.92 & 2.89 \\
0.20 & 4 & --2.5 & 0.72 & 0.87 & 0.97 & --0.58 & --0.96 & 1.74 & 0.87 & 3.44 & 4.41 & 2.56 & 3.54 \\
0.20 & 4 & --2.0 & 0.72 & 0.87 & 0.97 & --0.12 & --1.44 & 1.78 & 0.91 & 3.95 & 4.92 & 3.08 & 4.05 \\
0.20 & 5 & --4.0 & 1.02 & 1.00 & 0.99 & --3.01 & 0.68 & 1.61 & 0.61 & 0.99 & 1.99 & --0.00 & 0.99 \\
0.20 & 5 & --3.5 & 1.03 & 1.00 & 0.99 & --2.22 & 0.19 & 1.64 & 0.64 & 1.97 & 2.96 & 0.97 & 1.96 \\
