Z/Zo & log(n_Hcm-3) & log(U) & SIII19_SIII33 & OIII52_OIII88 & NII122_NII205 & SIV11_NeII16 & NeII13_NeIII16 & OIII52_NIII57 & OIII88_NIII57 & OIII52_NII122 & OIII52_NII205 & OIII88_NII122 & OIII88_NII205 
0.05 & 1 & --3.0 & --0.37 & --0.23 & --0.06 & --0.51 & 0.18 & 1.11 & 1.34 & 1.87 & 1.81 & 2.09 & 2.04 \\
0.05 & 1 & --2.8 & --0.37 & --0.23 & --0.06 & --0.27 & 0.18 & 1.11 & 1.34 & 2.02 & 1.96 & 2.24 & 2.18 \\
0.05 & 1 & --2.6 & --0.37 & --0.23 & --0.06 & --0.07 & 0.18 & 1.11 & 1.34 & 2.13 & 2.07 & 2.36 & 2.30 \\
0.05 & 1 & --2.4 & --0.37 & --0.22 & --0.07 & 0.06 & 0.18 & 1.13 & 1.36 & 2.23 & 2.17 & 2.46 & 2.39 \\
0.05 & 1 & --2.2 & --0.37 & --0.22 & --0.07 & 0.13 & 0.17 & 1.17 & 1.39 & 2.32 & 2.25 & 2.54 & 2.47 \\
0.05 & 1 & --2.0 & --0.37 & --0.22 & --0.07 & 0.14 & 0.15 & 1.23 & 1.45 & 2.40 & 2.33 & 2.62 & 2.55 \\
0.05 & 1 & --1.8 & --0.37 & --0.22 & --0.07 & 0.12 & 0.11 & 1.31 & 1.53 & 2.48 & 2.41 & 2.70 & 2.63 \\
0.05 & 1 & --1.6 & --0.37 & --0.21 & --0.07 & 0.11 & 0.07 & 1.40 & 1.62 & 2.56 & 2.49 & 2.77 & 2.70 \\
0.05 & 2 & --3.0 & --0.34 & --0.10 & 0.28 & --0.51 & 0.21 & 1.20 & 1.30 & 1.99 & 2.27 & 2.08 & 2.36 \\
0.05 & 2 & --2.8 & --0.34 & --0.09 & 0.26 & --0.27 & 0.21 & 1.20 & 1.29 & 2.13 & 2.39 & 2.22 & 2.48 \\
0.05 & 2 & --2.6 & --0.33 & --0.09 & 0.24 & --0.08 & 0.21 & 1.21 & 1.30 & 2.23 & 2.47 & 2.32 & 2.56 \\
0.05 & 2 & --2.4 & --0.33 & --0.09 & 0.22 & 0.06 & 0.21 & 1.23 & 1.31 & 2.30 & 2.52 & 2.39 & 2.61 \\
0.05 & 2 & --2.2 & --0.33 & --0.08 & 0.21 & 0.13 & 0.20 & 1.27 & 1.35 & 2.35 & 2.55 & 2.43 & 2.64 \\
0.05 & 2 & --2.0 & --0.33 & --0.08 & 0.20 & 0.14 & 0.18 & 1.33 & 1.41 & 2.38 & 2.58 & 2.45 & 2.65 \\
0.05 & 2 & --1.8 & --0.33 & --0.07 & 0.20 & 0.11 & 0.15 & 1.42 & 1.48 & 2.40 & 2.59 & 2.46 & 2.66 \\
0.05 & 2 & --1.6 & --0.33 & --0.05 & 0.20 & 0.09 & 0.12 & 1.52 & 1.57 & 2.40 & 2.60 & 2.45 & 2.65 \\
0.05 & 3 & --3.0 & --0.16 & 0.39 & 0.63 & --0.52 & 0.28 & 1.51 & 1.12 & 2.24 & 2.87 & 1.85 & 2.47 \\
0.05 & 3 & --2.8 & --0.15 & 0.39 & 0.62 & --0.28 & 0.28 & 1.51 & 1.12 & 2.29 & 2.91 & 1.90 & 2.52 \\
0.05 & 3 & --2.6 & --0.14 & 0.39 & 0.62 & --0.10 & 0.29 & 1.52 & 1.13 & 2.30 & 2.92 & 1.91 & 2.53 \\
0.05 & 3 & --2.4 & --0.13 & 0.39 & 0.62 & 0.03 & 0.29 & 1.54 & 1.15 & 2.28 & 2.90 & 1.89 & 2.50 \\
0.05 & 3 & --2.2 & --0.13 & 0.39 & 0.62 & 0.10 & 0.29 & 1.58 & 1.19 & 2.24 & 2.86 & 1.84 & 2.47 \\
0.05 & 3 & --2.0 & --0.13 & 0.39 & 0.63 & 0.10 & 0.28 & 1.64 & 1.25 & 2.19 & 2.82 & 1.80 & 2.43 \\
0.05 & 3 & --1.8 & --0.12 & 0.39 & 0.65 & 0.07 & 0.26 & 1.74 & 1.34 & 2.15 & 2.79 & 1.75 & 2.40 \\
0.05 & 3 & --1.6 & --0.11 & 0.40 & 0.66 & 0.05 & 0.23 & 1.85 & 1.44 & 2.12 & 2.78 & 1.71 & 2.38 \\
0.05 & 4 & --3.0 & 0.21 & 0.87 & 0.89 & --0.68 & 0.51 & 1.75 & 0.88 & 1.95 & 2.84 & 1.08 & 1.97 \\
0.05 & 4 & --2.8 & 0.24 & 0.87 & 0.89 & --0.44 & 0.53 & 1.75 & 0.87 & 1.95 & 2.84 & 1.07 & 1.97 \\
0.05 & 4 & --2.6 & 0.26 & 0.87 & 0.89 & --0.26 & 0.55 & 1.75 & 0.88 & 1.91 & 2.81 & 1.04 & 1.94 \\
0.05 & 4 & --2.4 & 0.27 & 0.87 & 0.90 & --0.14 & 0.57 & 1.78 & 0.91 & 1.88 & 2.77 & 1.01 & 1.91 \\
0.05 & 4 & --2.2 & 0.29 & 0.87 & 0.90 & --0.08 & 0.58 & 1.82 & 0.95 & 1.84 & 2.74 & 0.98 & 1.88 \\
0.05 & 4 & --2.0 & 0.30 & 0.86 & 0.91 & --0.09 & 0.59 & 1.89 & 1.03 & 1.82 & 2.73 & 0.96 & 1.87 \\
0.05 & 4 & --1.8 & 0.31 & 0.85 & 0.91 & --0.14 & 0.59 & 1.99 & 1.14 & 1.82 & 2.73 & 0.97 & 1.88 \\
0.05 & 4 & --1.6 & 0.33 & 0.84 & 0.92 & --0.17 & 0.60 & 2.11 & 1.26 & 1.83 & 2.75 & 0.99 & 1.91 \\
0.05 & 5 & --3.0 & 0.67 & 1.00 & 0.97 & --1.19 & 1.00 & 1.79 & 0.79 & 1.47 & 2.45 & 0.47 & 1.45 \\
0.05 & 5 & --2.8 & 0.70 & 1.00 & 0.98 & --0.96 & 0.99 & 1.79 & 0.79 & 1.48 & 2.46 & 0.49 & 1.46 \\
0.05 & 5 & --2.6 & 0.72 & 1.00 & 0.98 & --0.78 & 0.98 & 1.80 & 0.80 & 1.48 & 2.46 & 0.48 & 1.46 \\
0.05 & 5 & --2.4 & 0.73 & 1.00 & 0.98 & --0.66 & 0.99 & 1.82 & 0.82 & 1.48 & 2.45 & 0.48 & 1.46 \\
0.05 & 5 & --2.2 & 0.74 & 1.00 & 0.98 & --0.60 & 0.99 & 1.87 & 0.87 & 1.48 & 2.46 & 0.48 & 1.46 \\
0.05 & 5 & --2.0 & 0.75 & 1.00 & 0.98 & --0.61 & 0.99 & 1.95 & 0.95 & 1.50 & 2.48 & 0.50 & 1.48 \\
